Customer ID,revenue,profit,orders,avg_discount,margin_pct,risk_flag
CS-12505,5690.07,-6626.37,6,0.19999999999999998,-116.45498210039595,True
GT-14635,9351.199999999999,-4108.66,3,0.25,-43.93724869535461,True
LF-17185,3930.52,-3583.97,7,0.31875,-91.18310045490163,True
SR-20425,3233.48,-3333.91,5,0.36666666666666664,-103.10594158615484,True
HG-14965,3247.65,-2797.9500000000003,12,0.17058823529411765,-86.15306452357859,True
NC-18415,2218.9900000000002,-2204.8100000000004,6,0.2642857142857143,-99.36097053163827,True
SB-20290,8057.89,-2082.75,7,0.24117647058823527,-25.84733720614205,True
SM-20320,25043.07,-1980.75,5,0.24666666666666667,-7.909373730936344,True
CP-12340,5888.3,-1850.3099999999997,8,0.21333333333333335,-31.4235008406501,True
NF-18385,8322.82,-1695.9599999999996,7,0.25,-20.377227910732177,True
BM-11140,11789.64,-1659.97,4,0.16875,-14.079904051353562,True
TB-21520,4737.48,-1603.05,9,0.265,-33.837609868537704,True
DC-12850,3336.17,-1441.6399999999999,9,0.21111111111111114,-43.21242622528228,True
DB-13120,2973.09,-1421.78,7,0.14285714285714285,-47.821626657787014,True
RO-19780,3815.4700000000003,-1262.58,7,0.2916666666666667,-33.091073969917204,True
TP-21415,5328.98,-1087.3799999999999,5,0.462,-20.405030606232337,True
ZC-21910,8025.7,-1032.13,13,0.25483870967741934,-12.860311250109028,True
VP-21760,3360.54,-1018.76,7,0.17142857142857143,-30.315365982847997,True
SS-20410,3056.81,-1010.97,6,0.25833333333333336,-33.072713057075845,True
OT-18730,3818.62,-925.1299999999999,5,0.15999999999999998,-24.226814922668396,True
